0.0146,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0293,0.0024,0.0024
0.022,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0269,0.0024,0.0024
0.0342,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0195,0.0024,0.0024
0.0195,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0293,0.0024,0.0024
0.0439,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0293,0.0024,0.0024
0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0122,0.0244,0.0024,0.0122
0.0073,0.0024,0.0024,0.0024,0.0024,0.0024,0.0146,0.0171,0.0024,0.0122
0.0122,0.0024,0.0024,0.0024,0.0024,0.0024,0.0293,0.0391,0.0024,0.022
0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0049,0.0269,0.0024,0.0024
0.0049,0.0024,0.0024,0.0024,0.0024,0.0024,0.0195,0.0269,0.0098,0.0024
0.0024,0.0024,0.0977,0.0024,0.0024,0.0024,0.0269,0.0366,0.0879,0.0049
0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0122,0.0269,0.0024,0.0024
0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0757,0.0317,0.0024,0.0024
0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0146,0.0293,0.0024,0.0098
0.0049,0.0024,0.0024,0.0024,0.0024,0.0024,0.0317,0.0366,0.0122,0.0049
0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0317,0.0244,0.0024,0.0049
0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0269,0.0415,0.0024,0.0171
0.0049,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0122,0.0024,0.0024
0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0244,0.0049,0.0024
0.0049,0.0024,0.0024,0.0024,0.0049,0.0024,0.0024,0.0195,0.0024,0.0024
0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0195,0.0366,0.0024,0.0024
0.0098,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0635,0.0024,0.0098
0.0073,0.0024,0.0024,0.0024,0.0024,0.0024,0.0317,0.0757,0.0024,0.0049
